id,book_name,char,caption,content,prediction,rationale
95,The Count of Monte Cristo,Noirtier,The Fatal Decision of the Hundred Days,"Learning that Villefort meant to denounce him to Louis XVIII, Noirtier pre-emptively handed the conspiracy dossier to a British spy—the very file the Count of Monte Cristo later acquired—thereby engineering his son’s “lawful” murder.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'wards their different destinations. Madame Danglars therefore came, not only beautiful in person, but radiant with splen...'"
136,The Count of Monte Cristo,Faria,Escape and Secret Life,"From 1800 onward he lived quietly on a small island, drafting a vast work on human intelligence while sending chapters out by secret courier.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'n you have no great desire to sleep on the Piazza del Popolo, or the Campo Vaccino, they wrote to Signor Pastrini, the p...'"
59,In Search of the Castaways,Thalcave,,"Posing as a relay-station hand, he slipped captivity, returned to the mountains and stayed alive with rope-climbing and avalanche-reading skills.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'ies of drowned animals, bloody skins, and, on a swaying tree, a whole family of growling jaguars that clung with their c...'"
60,In Search of the Castaways,Thalcave,,"First rescue: in 1852 an avalanche buried a silver-prospecting caravan; Thalcave led a night dig that saved eight survivors, among them French geographer Roux.",consistent,Confidence 0.95: Evidence supports claim. Text ref: 'e of their companions who were not drowned to be butchered by the natives.  [Sidenote: A SADDENING HISTORY.]  Of course ...'
124,The Count of Monte Cristo,Faria,Foreshadowing of Relationships,On the Marseille quay he noticed young Caderousse stealing a mooring rope but said nothing.,inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'as a tremendous peal of thunder, while the livid lightning illumined the room, and the thunder, rolling away in the dist...'"
111,The Count of Monte Cristo,Noirtier,Wisdom and Influence in the Post-Revolution Era,"Though bodily strength ebbed he still pulled strings through old friends, quietly encouraging several anti-royalist moves.",inconsistent,"Confidence 0.07 (Low): Insufficient evidence match. Closest text: 'dress suit, drew on a pair of white gloves, ordered the servants to attend the carriage dressed in their full livery, an...'"
135,The Count of Monte Cristo,Faria,Secret Society and Political Struggle,"A failed 1796 coup landed him in a Roman prison; he spent four years writing treatises on philosophy, science and religion until comrades helped him escape in 1800.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'Magistrate and orator of great eloquence—chancellor of France under Louis XV.  [12] Jacques-Louis David, a famous French...'"
27,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"At twelve he ran away to the docks, worked as a porter and lost hearing in his left ear after a beating for secretly poring over a captain’s charts.",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'expressly to shelter us. Let us eat and sleep.""  [Sidenote: A TRANSFORMATION SCENE.]  ""Eat,"" said Paganel, ""but of biscu...'"
110,The Count of Monte Cristo,Noirtier,The Complexity of Family and Personal Life,"He kept a locked study full of revolutionary pamphlets and private letters, rereading them alone while he weighed his past.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'tenant, who, as we have said, was an Italian, was called Il Signor Giacomo Busoni. Workmen were immediately called in, a...'"
42,In Search of the Castaways,Tom Ayrton/Ben Joyce,,He accepted a lucrative berth on the British merchant Britannia; first mate Fletcher valued his experience but warned others about his “unstable record.”,consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'cry.  MacNabb continued:  [Sidenote: A HOPELESS CHANCE.]  ""'Now, you others,' said Ben Joyce, 'catch the horse. In two d...'"
56,In Search of the Castaways,Thalcave,,"After predicting an earthquake and saving the entire party he declined payment, asking only that the credit go to “the spirit of the plains.”",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'n in so level a country. It was Tapalquem Sierra, and at its foot the travelers encamped for the night.  [Sidenote: GALL...'"
80,In Search of the Castaways,Kai-Koumou,,"At ten he began learning tactics, spear-craft and jungle tracking from his father; at twelve he pinned a sounder of wild boar with one spear and was proclaimed “Junior Champion.” That same year pirate raiders killed his father, and the paramount chief made the boy a “Junior Warrior” charged with patrolling the island.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'ite of the major's assurance, Lady Helena passed the night in the greatest anxiety, and could scarce gain an hour's repo...'"
28,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"The mate of the merchant Emerald Bird took him on and taught him navigation; off the Cape the captain pocketed the cargo-insurance money and framed the mate, forcing Ayrton to give false testimony and first taste “legalised plunder.”",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'ings in the marshes of the Snowy, all the wretch's deeds, flashed upon the minds of the two men. And now, by a strange f...'"
101,The Count of Monte Cristo,Noirtier,Early Life and Political Awakening,"At eighteen he joined a radical republican cell, speaking in cafés and back-room meetings for the revolutionary cause.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'dress suit, drew on a pair of white gloves, ordered the servants to attend the carriage dressed in their full livery, an...'"
91,The Count of Monte Cristo,Noirtier,A Double Life in the Napoleonic Era,"Working directly for Fouché, he organised the assassination of royalist deputies while posing as a Ministry of Justice official; the arsenic phial still lies in a hidden drawer of his study desk.",inconsistent,"Confidence 0.07 (Low): Insufficient evidence match. Closest text: 'tenant, who, as we have said, was an Italian, was called Il Signor Giacomo Busoni. Workmen were immediately called in, a...'"
24,In Search of the Castaways,Jacques Paganel,,"He proposed a South-American trade route to the naval board, was transferred to London and recommended for a berth on Captain Grant’s new ship Brittany.",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'al Institute of the East Indies, who, after passing twenty years of his life in studying geography, designs now to enter...'"
119,The Count of Monte Cristo,Faria,Life in Captivity Before Château d'If,"First confined in Fenestrella Fortress, he scratched “On Ancient Mediterranean Routes” into limestone with a nail; the warden later plagiarised the essay.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'dress suit, drew on a pair of white gloves, ordered the servants to attend the carriage dressed in their full livery, an...'"
93,The Count of Monte Cristo,Noirtier,The Fatal Decision of the Hundred Days,"He secretly raised the “Southern Army” in Marseille for Napoleon but left traceable evidence—copies of the ciphered letters hidden inside oak barrels in his own vineyard, later unearthed by Villefort.",inconsistent,Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'or other form. Any alternate format must include the full Project Gutenberg™ License as specified in paragraph 1.E.1.  1...'
72,In Search of the Castaways,Kai-Koumou,,"He trained twelve English-speaking youths as spies, sent them into Auckland; two became servants who secretly watched Glenarvan.",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'ite of the major's assurance, Lady Helena passed the night in the greatest anxiety, and could scarce gain an hour's repo...'"
16,In Search of the Castaways,Jacques Paganel,,"Born in Calcutta to a British merchant family, his father kept the accounts for the East India Company and his mother was a French nurse.",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'al Institute of the East Indies, who, after passing twenty years of his life in studying geography, designs now to enter...'"
30,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"He joined the Indian-Ocean pirate crew Black Tide and, thanks to his sailing skill, became second mate within three years; while looting an East-Indiaman he found among the prisoners the colonial officer who had framed his father and personally cut the man’s throat, earning the pirate nickname “Blood Raven.”",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 's buried beneath the ruins.  Glenarvan, Paganel, the major, and Captain Mangles mingled with the crowd, and listened to ...'"
97,The Count of Monte Cristo,Noirtier,Resolution of Original Issues,**Poison Mastery**: Knowledge gathered while experimenting on prisoners let him recognise Barrois’ symptoms instantly (Book II of the original novel).,inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'etch him at two o’clock; fortunately the Palazzo Bracciano, which is on one side in the Corso, and on the other in the S...'"
22,In Search of the Castaways,Jacques Paganel,,"He secretly helped anti-colonial groups ferry medicine and supplies to civilians, adopted the creed of “quiet chivalry for the weak,” and came into possession of Spanish-American rebel correspondence that sharpened his knowledge of Southern-Hemisphere geography.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'al Institute of the East Indies, who, after passing twenty years of his life in studying geography, designs now to enter...'"
53,In Search of the Castaways,Thalcave,,"While gentling Thaouka they plunged off a cliff; badly hurt, he chewed herbs to staunch the bleeding and survived, forging with the horse a bond deeper than master and beast.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'with lines of latitude and longitude, the two oceans, and the road to Carmen. Never was professor in such embarrassment....'"
58,In Search of the Castaways,Thalcave,,"The mission priest taught him Quechua, Spanish and French, showed him European maps, the stars and the arithmetic of navigation.",consistent,Confidence 0.95: Evidence supports claim. Text ref: 'e of their companions who were not drowned to be butchered by the natives.  [Sidenote: A SADDENING HISTORY.]  Of course ...'
81,In Search of the Castaways,Kai-Koumou,,"When he was fourteen a whaling crew coveted the island’s spring and set fire to threaten the village; as squad leader he slipped aboard at night, smashed their launches and drove them off. A captured Spanish sailor, impressed by his ferocity, secretly taught him scraps of Spanish slang.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'eiled in mist, and the surface of Lake Taupo, gently rippling beneath the morning wind. Then all, eager to know Paganel'...'"
47,In Search of the Castaways,Thalcave,,"Colonists killed his father for refusing to reveal migration routes, and the thirteen-year-old fled alone, carrying his father’s silver horse-gear.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'ite of the major's assurance, Lady Helena passed the night in the greatest anxiety, and could scarce gain an hour's repo...'"
7,In Search of the Castaways,Jacques Paganel,,"Leading a scientific party he insisted on travelling light, leaving the team short of supplies; he watched three members die of malaria and thereafter kept a bulging backpack wherever he went.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'al Institute of the East Indies, who, after passing twenty years of his life in studying geography, designs now to enter...'"
121,The Count of Monte Cristo,Faria,Life in Captivity Before Château d'If,"Aboard the prison transport he met Edmond Dantès’ father, heard tales of the merchant Pharaon and thus gained the first thread that later let him recognise the young sailor.",inconsistent,Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'ked so well that by two o’clock in the morning all the cargo was out of _La Jeune Amélie_ and on _terra firma_. The same...'
129,The Count of Monte Cristo,Faria,The Origin of the Key Artifact,"He learnt to carve fish-bone pen-nibs from an old Macao watchmaker, letting him pursue scholarship without proper tools.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'the fair is on at Beaucaire, there are always jewellers from Paris there, and I will show it to them. Look after the hou...'"
51,In Search of the Castaways,Thalcave,,"Horse-thieves attacked; the old shepherd died shielding Thalcave, and with his last breath begged the youth to “stand between civilisation and the wild.”",consistent,"Confidence 0.95: Evidence supports claim. Text ref: '. The major, like a perfect horseman, admired unreservedly this specimen of the horses of the plains. This beautiful cre...'"
127,The Count of Monte Cristo,Faria,The Formation of Spiritual Traits,"During twenty years in one cell he kept his wits by calculating Mediterranean tides, an exercise that later let him predict guards’ rounds in the original story.",inconsistent,"Confidence 0.07 (Low): Insufficient evidence match. Closest text: 'n you have no great desire to sleep on the Piazza del Popolo, or the Campo Vaccino, they wrote to Signor Pastrini, the p...'"
133,The Count of Monte Cristo,Faria,Early Life and Academic Achievements,University lectures on Enlightenment science convinced him that religion and reason could be fused into one worldview.,inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'dress suit, drew on a pair of white gloves, ordered the servants to attend the carriage dressed in their full livery, an...'"
52,In Search of the Castaways,Thalcave,,On the Patagonian frontier he trapped a wary black stallion named Thaouka and spent three months taming it with ancient Tehuelche methods.,consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'ns. They have thrown this document into the sea, at longitude ----, latitude 37° 11'. Bring them assistance or they are ...'"
114,The Count of Monte Cristo,Faria,Early Academic Background,"At twelve he entered Bologna University, read theology and chemistry, and caused a stir by decoding ciphers in a fifteenth-century alchemist’s notebook.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'etch him at two o’clock; fortunately the Palazzo Bracciano, which is on one side in the Corso, and on the other in the S...'"
2,In Search of the Castaways,Jacques Paganel,,"Caught secretly studying Latin in the church school, he was made to stand as punishment, yet the episode let him befriend a Spanish-speaking caretaker and pick up basic Spanish while helping the man compose letters.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'al Institute of the East Indies, who, after passing twenty years of his life in studying geography, designs now to enter...'"
33,In Search of the Castaways,Tom Ayrton/Ben Joyce,,He volunteered for Captain Grant’s crew chiefly to spy on the colonisation schemes backed by Scottish nobles.,consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'cry.  MacNabb continued:  [Sidenote: A HOPELESS CHANCE.]  ""'Now, you others,' said Ben Joyce, 'catch the horse. In two d...'"
15,In Search of the Castaways,Jacques Paganel,,Calm before cannibals: his Amazon years taught him to gauge a tribe’s degree of civilization by studying the bone ornaments they wore.,consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'expressly to shelter us. Let us eat and sleep.""  [Sidenote: A TRANSFORMATION SCENE.]  ""Eat,"" said Paganel, ""but of biscu...'"
82,In Search of the Castaways,Kai-Koumou,,"Captured at sixteen, he gnawed fish-bones to stay alive during months of imprisonment; on escape he inspired fellow captives by chewing burnt bone ash, then sneaked into a British merchant’s cabin, stole torn pages of an English dictionary and pieced together enough words for rough conversation.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'he palisade. The learned geographer, profiting by the circumstance, would have made use of the language which he had stu...'"
37,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Tom Ayrton was born near Exeter to a fisherman father, retired naval petty-officer James Ayrton; his mother died young and he was reared by his elder brother Benjamin, learning tides and wind signs on fishing trips while secretly studying the Nautical Almanac and dreaming of “conquering the seas.”",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'emingly supernatural event took place. The brother and sister, by one of those magnetic attractions that mysteriously dr...'"
3,In Search of the Castaways,Jacques Paganel,,"After his mother died he quarrelled with his father and left home, carrying the Polynesian nautical charts she had bequeathed to him.",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'al Institute of the East Indies, who, after passing twenty years of his life in studying geography, designs now to enter...'"
103,The Count of Monte Cristo,Noirtier,Involvement and Turning Point in the French Revolution,As Napoleon climbed toward dictatorship Noirtier distanced himself from former comrades and grew wary of power’s corruption.,inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'Magistrate and orator of great eloquence—chancellor of France under Louis XV.  [12] Jacques-Louis David, a famous French...'"
94,The Count of Monte Cristo,Noirtier,The Fatal Decision of the Hundred Days,To treat worsening hand tremors he allowed his private doctor to test a new sedative on political prisoners; the secret gave him leverage over enemies even after paralysis set in.,inconsistent,"Confidence 0.07 (Low): Insufficient evidence match. Closest text: 'dress suit, drew on a pair of white gloves, ordered the servants to attend the carriage dressed in their full livery, an...'"
85,In Search of the Castaways,Kai-Koumou,,"Hearing that foreigners sought the missing captain’s daughter and would pay richly for her return, he volunteered to lead the pursuit.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'es of Mary and Robert Grant. It was, indeed, the man whom the children had so often described. Their hearts had not dece...'"
21,In Search of the Castaways,Jacques Paganel,,"The Royal Navy frigate HMS Austin, bound for Australia and New Zealand under Lieutenant Grant, quietly promoted the sympathetic young sailor to ship’s assistant.",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'al Institute of the East Indies, who, after passing twenty years of his life in studying geography, designs now to enter...'"
49,In Search of the Castaways,Thalcave,,"For two years he lived solo in the Andean border wilds, tempering an ice-cold nerve by trailing pumas and dodging bandits.",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'n in so level a country. It was Tapalquem Sierra, and at its foot the travelers encamped for the night.  [Sidenote: GALL...'"
140,The Count of Monte Cristo,Faria,Addendum to Character Relationships,Friendships forged in secret cells and exile sustained him through the long years of imprisonment and seclusion.,inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'n a slate, and thus learn to write. The same evening, when the flock was safe at the farm, the little Luigi hastened to ...'"
64,In Search of the Castaways,Thalcave,,South-latitude incident: off the Chilean coast he ferried water and provisions to a burning barque and fished a sailor from the sea during a squall.,consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'with lines of latitude and longitude, the two oceans, and the road to Carmen. Never was professor in such embarrassment....'"
131,The Count of Monte Cristo,Faria,Early Life and Academic Achievements,"Born in 1760 to a declining Italian noble house, he devoured the family library and startled tutors with his memory.",inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'the fair is on at Beaucaire, there are always jewellers from Paris there, and I will show it to them. Look after the hou...'"
61,In Search of the Castaways,Thalcave,,"Slave-raiders seized his little sister Nawee; too young to save her, he swore ever after to help anyone in distress.",consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'emingly supernatural event took place. The brother and sister, by one of those magnetic attractions that mysteriously dr...'"
86,In Search of the Castaways,Kai-Koumou,,"At first Glenarvan found him haughty and cold, yet observed that the man valued life and kept his word; though words were few, a fragile trust grew between them during their stand-off.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'rvan, urging his companions with word and gesture.  [Sidenote: A SCENE OF ENCHANTMENT.]  In less than five minutes they ...'"
38,In Search of the Castaways,Tom Ayrton/Ben Joyce,,His quick temper and refusal to accept unjust punishment led to repeated discipline and growing disillusion; during a storm on a convoy run he insisted on saving people but was reprimanded for “disrupting military order.”,consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'pany you, captain,"" replied Paganel.  [Sidenote: THE BURNED BRIDGE.]  This proposal was accepted, and the captain and Pa...'"
132,The Count of Monte Cristo,Faria,Early Life and Academic Achievements,"By eighteen he was a star student at Rome University, fluent in several languages and already publishing notes on history and natural philosophy.",inconsistent,"Confidence 0.07 (Low): Insufficient evidence match. Closest text: 'angements, the carriage was waiting at the door. The guide held the door open. Guides are useful people, who will turn t...'"
77,In Search of the Castaways,Kai-Koumou,,"As a boy he was rescued by British biologist Wallace, who left behind a bird-of-paradise picture book that, twenty years later, convinced him Glenarvan was linked to the naturalist.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: '. The major, like a perfect horseman, admired unreservedly this specimen of the horses of the plains. This beautiful cre...'"
70,In Search of the Castaways,Kai-Koumou,,"At twenty-two he earned the chieftainship by surviving seven days and nights alone on the crater’s rim, bringing back a sulphur-crusted sacred stone; the same year he married white princess Julia of the west-coast tribe, executed her with an obsidian knife when he found her passing information to British missionaries and thereafter banned any white marriage.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'eiled in mist, and the surface of Lake Taupo, gently rippling beneath the morning wind. Then all, eager to know Paganel'...'"
115,The Count of Monte Cristo,Faria,Early Academic Background,"As a Jesuit novice he was sent to Goa, secretly read the old Indian medical text Charaka Samhita and laid the groundwork for his later toxicology expertise.",inconsistent,Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'ked so well that by two o’clock in the morning all the cargo was out of _La Jeune Amélie_ and on _terra firma_. The same...'
78,In Search of the Castaways,Kai-Koumou,,"His father guarded the island’s paramount chief; his mother, a princess from a neighbouring island, came in marriage to seal an alliance. At five he saw her assassinated in inter-tribal strife; to stop further unrest his father ordered the murderer’s entire clan executed, and the child never forgot the sound of flesh stripped from bone.",consistent,Confidence 0.96: Evidence supports claim. Text ref: 'the latter was corresponding member of the Society! He it was who had introduced him to M. Malte-Brun. What a meeting! a...'
87,The Count of Monte Cristo,Noirtier,Political Awakening in Youth,**Family Trauma**: His father was guillotined in 1792 for hiding exiled aristocrats; watching the blade fall left him with chronic hand tremors and lifelong revulsion for the old regime.,inconsistent,"Confidence 0.06 (Low): Insufficient evidence match. Closest text: 'tenant, who, as we have said, was an Italian, was called Il Signor Giacomo Busoni. Workmen were immediately called in, a...'"
75,In Search of the Castaways,Kai-Koumou,,"He had an extraordinary memory for geographical knowledge, and could determine the location of shipwrecks by observing tidal changes. He viewd volcanic eruptions as divine punishment against colonizers.",consistent,"Confidence 0.96: Evidence supports claim. Text ref: 'al Institute of the East Indies, who, after passing twenty years of his life in studying geography, designs now to enter...'"
44,In Search of the Castaways,Tom Ayrton/Ben Joyce,,Solitude brought pride and remorse to the surface; again and again his diary confessed both self-loathing for the betrayal and relief that no one knew the truth.,consistent,"Confidence 0.95: Evidence supports claim. Text ref: 'ings in the marshes of the Snowy, all the wretch's deeds, flashed upon the minds of the two men. And now, by a strange f...'"
